ms,acc
61672358,0.00000
61672362,0.00000
61672374,0.00000
61672376,0.00000
61672391,0.00000
61672394,0.00000
61672409,0.00000
61672412,0.00000
61672425,0.00000
61672428,0.00000
61672442,0.00000
61672444,0.00000
61672459,0.00000
61672462,0.00000
61672476,0.00000
61672479,0.00000
61672494,0.00000
61672496,0.00000
61672510,0.00000
61672514,0.00000
61672526,0.00000
61672530,0.00000
61672544,0.00000
61672547,0.00000
61672560,0.00000
61672563,0.00000
61672576,0.00000
61672579,0.00000
61672594,0.00000
61672597,0.00000
61672610,0.00000
61672614,0.00000
61672627,0.00000
61672630,0.00000
61672644,0.00000
61672647,0.00000
61672660,0.00000
61672664,0.00000
61672677,0.00000
61672680,0.00000
61672694,0.00000
61672697,0.00000
61672710,0.00000
61672714,0.00000
61672727,0.00000
61672731,0.00000
61672745,0.00000
61672747,0.00000
61672761,0.00000
61672763,0.00000
61672778,0.00000
61672782,0.00000
61672796,0.00000
61672799,0.00000
61672812,0.00000
61672815,0.00000
61672828,0.00000
61672831,0.00000
61672845,0.00000
61672848,0.00000
61672862,0.00000
61672865,0.00000
61672879,0.00000
61672882,0.00000
61672898,0.00000
61672902,0.00000
61672917,0.00000
61672921,0.00000
61672929,0.00000
61672931,0.00000
61672946,0.00000
61672949,0.00000
61672963,0.00000
61672966,0.00000
61672979,0.00000
61672983,0.00000
61673014,0.00000
61673017,0.00000
61673030,0.00000
61673033,0.00000
61673047,0.00000
61673050,0.00000
61673064,0.00000
61673068,0.00000
61673080,4.09322
61673083,4.07853
61673096,3.02592
61673099,2.90561
61673114,0.62552
61673118,0.49414
61673131,1.27650
61673134,1.14190
61673148,1.40141
61673150,1.25659
61673164,0.57474
61673167,0.42337
61673182,-0.21670
61673185,-0.36533
61673199,-1.69012
61673201,-1.82835
61673216,-0.29864
61673218,-0.42821
61673232,0.04533
61673236,-0.08502
61673249,2.84056
61673252,2.67946
61673265,4.48414
61673269,4.28678
61673284,2.82854
61673286,2.59982
61673299,1.96635
61673302,2.05162
61673316,1.14816
61673319,0.89058
61673333,1.37756
61673336,1.11966
61673349,1.33079
61673352,1.20149
61673365,2.04250
61673369,1.44727
61673383,1.34177
61673386,1.03771
61673399,3.29273
61673403,2.93157
61673416,1.03923
61673419,0.86070
61673433,4.55511
61673435,4.16928
61673449,0.41160
61673453,0.03291
61673466,2.34756
61673469,2.87271
61673483,-0.41091
61673486,-0.82798
61673500,0.95141
61673502,0.54863
61673517,1.11923
61673520,0.70708
61673534,1.02067
61673537,0.59674
61673551,0.44237
61673554,-0.01746
61673572,-0.40758
61673575,-0.95860
61673584,0.81372
61673587,0.39002
61673601,2.19537
61673604,2.10339
61673618,1.68678
61673622,1.21559
61673634,0.94095
61673638,0.46171
61673651,0.84128
61673656,0.36387
61673668,0.34793
61673671,-0.35100
61673684,-0.08787
61673687,-0.55636
61673702,0.27238
61673705,-0.18556
61673718,1.54645
61673722,0.20549
61673734,1.34845
61673737,0.87450
61673752,-0.81848
61673754,-1.28517
61673770,-0.09141
61673773,-0.55865
61673785,0.28727
61673788,-0.18014
61673803,-0.72586
61673806,-1.19124
61673820,0.38994
61673824,-0.06846
61673836,0.40604
61673840,-0.06032
61673853,-0.06312
61673856,-0.53432
61673870,-1.08014
61673873,-1.54500
61673886,-0.20220
61673889,-0.66501
61673903,-0.02725
61673906,-0.48082
61673920,-0.36872
61673924,-0.82374
61673936,-0.53126
61673939,-0.97933
61673953,-1.02561
61673956,-1.46064
61673970,-1.26585
61673973,-1.68476
61673987,-0.94503
61673990,-1.34906
61674004,0.18501
61674007,-0.21892
61674021,-0.15189
61674025,-0.55284
61674037,0.06279
61674041,-0.33464
61674054,-0.66777
61674058,-1.05722
61674071,-1.16734
61674074,-1.54741
61674088,-0.35503
61674091,-0.72183
61674104,-0.53704
61674108,-0.90206
61674121,-1.17601
61674124,-1.52920
61674138,-0.16783
61674140,-0.52068
61674155,-1.54964
61674157,-1.89684
61674180,0.98673
61674183,0.63775
61674192,0.19509
61674194,-0.15933
61674206,-0.56212
61674208,-0.92358
61674222,-0.63410
61674226,-0.98828
61674239,-1.36764
61674242,-1.70341
61674255,-1.53358
61674258,-1.84845
61674272,-0.38886
61674274,-0.69347
61674288,0.20651
61674292,-0.09539
61674305,-0.68494
61674308,-0.98561
61674323,0.39676
61674327,0.09325
61674339,-0.07204
61674341,-0.37282
61674356,-0.65117
61674360,-0.94052
61674372,-1.41940
61674376,-1.69375
61674389,-0.41754
61674393,-1.41211
61674405,0.60230
61674408,0.34296
61674423,-0.57964
61674425,-0.82980
61674439,-0.59496
61674443,-0.29896
61674455,-0.22928
61674458,-0.46948
61674473,-0.30252
61674475,-0.53520
61674489,-0.54936
61674493,-0.59979
61674506,-0.43231
61674509,-0.65769
61674523,-0.50796
61674527,-0.73275
61674540,0.03180
61674542,-0.19488
61674556,0.41248
61674560,0.25884
61674573,0.70280
61674577,0.47432
61674590,-0.08443
61674593,-0.31653
61674606,-0.06906
61674609,-0.58588
61674624,0.31898
61674626,0.08038
61674641,0.11406
61674644,-0.12268
61674658,0.35996
61674660,-0.35687
61674674,0.23632
61674676,-0.00799
61674690,-0.38157
61674694,-0.63166
61674707,-0.46570
61674710,-0.32463
61674725,0.21788
61674730,-0.01561
61674742,0.30603
61674746,0.06612
61674758,1.71483
61674763,0.69026
61674775,-0.05095
61674779,-0.31186
61674793,0.15858
61674797,-0.10949
61674809,0.40868
61674813,0.12823
61674826,1.16517
61674831,0.86938
61674843,1.74564
61674847,1.42679
61674859,1.44502
61674864,1.11218
61674877,0.85916
61674881,0.87098
61674892,0.61600
61674897,0.27058
61674909,-0.03517
61674914,-0.35856
61674926,0.66960
61674930,0.19750
61674943,-0.15610
61674948,-0.47199
61674960,1.23016
61674965,0.89764
61674976,2.01978
61674979,2.14542
61674993,0.49260
61674996,0.12151
61675009,0.11364
61675012,-0.26421
61675026,-0.19618
61675029,-0.56134
61675043,-0.66042
61675046,-1.02645
61675060,0.35130
61675062,-0.00080
61675076,0.47239
61675080,0.65592
61675093,2.23606
61675097,1.59958
61675110,0.60458
61675114,0.21079
61675127,0.08358
61675130,-1.51980
61675143,-0.72521
61675147,-0.66190
61675161,-1.55569
61675164,-1.89042
61675177,-0.92475
61675180,-0.47904
61675194,-0.00187
61675197,0.08525
61675211,0.65089
61675215,0.72929
61675230,0.38681
61675232,-0.22657
61675244,0.73657
61675247,-0.23524
61675262,-0.36227
61675264,-0.73013
61675278,-1.38878
61675281,-0.19677
61675295,-0.38501
61675298,-1.06590
61675312,-0.40137
61675316,-0.63999
61675329,0.40532
61675332,0.16525
61675346,-0.03065
61675349,-0.99295
61675362,-0.41342
61675366,-0.15978
61675380,-0.68885
61675383,-0.89971
61675397,-0.61125
61675400,-0.81341
61675413,-2.47863
61675416,-1.42723
61675430,-1.93755
61675434,-2.10582
61675448,-1.18702
61675450,-1.34404
61675464,-1.90796
61675467,-1.80098
61675480,-2.10425
61675484,-1.52084
61675498,-1.21591
61675502,-1.34717
61675513,-1.40527
61675516,-0.95828
61675531,-0.83499
61675534,-0.98256
61675547,-0.44794
61675551,-0.52858
61675564,-1.21011
61675568,-1.28950
61675580,-1.38725
